data,brasil_retorno,brasil_peso,brasil_saldo,brasil_mov,ouro_retorno,ouro_peso,ouro_saldo,ouro_mov,sp500_retorno,sp500_peso,sp500_saldo,sp500_mov,reits_retorno,reits_peso,reits_saldo,reits_mov,saldo_total,retorno_total
2006-01-01,0.1809,0.43543510324483775,47236.0,0.0,0.0527,0.24260232300884957,26317.5,0.0,-0.0225,0.18021755162241887,19550.0,0.0,0.0251,0.1417450221238938,15376.5,0.0,108480.0,0.08479999999999999
2006-02-01,-0.0385,0.43477285107586744,45417.414,0.0,-0.0472,0.2400415347162349,25075.314,0.0,-0.0351,0.18057976471889597,18863.795,0.0,-0.0176,0.14460584948900168,15105.8736,0.0,104462.3966,-0.03703542957227146
2006-03-01,-0.0081,0.4198467904848969,45049.5329466,0.0,0.0626,0.24832287999585007,26645.028656399998,0.0,0.0345,0.18186959845915276,19514.5959275,0.0,0.0652,0.14996073106010024,16090.776558720001,0.0,107299.93408922,0.02716324324900654
2006-04-01,0.0665,0.4335950259876962,48045.326887548894,0.0,0.08,0.2597006795964875,28776.630948912,0.0,-0.0254,0.17164023842996146,19018.9251909415,0.0,-0.0699,0.13506405598585478,14966.031277265472,0.0,110806.91430466787,0.03268389906495006
2006-05-01,-0.0843,0.3957134052108561,43995.10583092852,0.0,0.0774,0.2788645533410187,31003.942184357787,0.0,0.0627,0.18179127965724728,20211.41180041353,0.0,0.067,0.14363076179087805,15968.755372842259,0.0,111179.21518854209,0.003359906610616026
2006-06-01,-0.0038,0.41220289411675054,43827.924428770995,0.0,-0.101,0.26214208093867913,27872.54402373765,0.0,-0.0589,0.1788926744053655,19020.959645369174,0.0,-0.0228,0.14676235053920492,15604.667750341456,0.0,106326.09584821927,-0.043651318567888064
2006-07-01,0.0094,0.4078774764615486,44239.906918401444,0.0,0.0361,0.26625256658125457,28878.74286299458,0.0,0.0055,0.17633154721660463,19125.574923418706,0.0,0.0394,0.14953840974059215,16219.491659704909,0.0,108463.71636451964,0.02010438264705816
2006-08-01,-0.0257,0.4042507980783742,43102.94131059853,0.0,-0.0351,0.26133920707322156,27865.09898850347,0.0,0.0027,0.17985788948224452,19177.213975711937,0.0,0.016,0.15455210536615976,16479.00352626019,0.0,106624.25780107411,-0.016959206498729618
2006-09-01,0.0012,0.364110812409826,39027.53822417125,-4122.18,-0.025,0.2909673989831266,31187.59701379088,4122.18,0.0444,0.18685933335608282,20028.682276233547,0.0,0.0281,0.15806245525096457,16942.0635253481,0.0,107185.88103954378,0.0052673120549873165
2006-10-01,0.0748,0.37742691576636006,41946.79808333926,0.0,-0.002,0.2800570487081595,31125.221819763297,0.0,0.0159,0.1830785188228635,20347.13832442566,0.0,0.0459,0.15943751670261697,17719.70424116158,0.0,111138.8624686898,0.03687968406666964
2006-11-01,0.0702,0.409658050186309,48466.477110789674,3340.51,0.0831,0.25436332469784917,30093.621371985624,-3340.51,0.0294,0.1770384268330305,20945.344191163775,0.0,0.0612,0.15894019828281114,18804.15014072067,0.0,118309.59281465976,0.06452045834093467
2006-12-01,0.0396,0.42640034996222975,50385.74960437694,0.0,-0.0336,0.24611676736003507,29082.475693886907,0.0,-0.0032,0.1766873101302442,20878.31908975205,0.0,-0.0524,0.15079557254749096,17818.812673346907,0.0,118165.35706136281,-0.0012191382783550697
2007-01-01,0.0057,0.3932548086835949,47535.55660012189,-3119.61,0.0229,0.24998777131340127,30217.83228127692,458.86,0.0112,0.19770271977384793,23897.759463557275,2754.75,0.0847,0.1590547002291559,19226.093459779393,-94.01,120877.24180473547,0.02294991367025112
2007-02-01,-0.031,0.38684604963782293,46061.95434551811,0.0,0.0253,0.26020166399379446,30982.343437993226,0.0,-0.0226,0.19616671796046448,23357.67009968088,0.0,-0.029,0.15678556840791805,18668.53674944579,0.0,119070.50463263801,-0.014946876228496775
2007-03-01,0.0301,0.40571993465809686,47448.41917131821,0.0,-0.0502,0.2516234010553175,29427.029797405965,0.0,-0.0315,0.19343441502847383,22621.903491540932,0.0,-0.0652,0.14922224925811176,17451.348153381925,0.0,116948.70061364703,-0.01781972811434096
2007-04-01,0.0655,0.4160415200264949,50556.290627039554,0.0,0.0202,0.24705475716753625,30021.455799313564,0.0,0.041,0.19379445542170162,23549.40153469411,0.0,-0.0035,0.1431092673842672,17390.26843484509,0.0,121517.41639589232,0.039065981565186814
2007-05-01,0.0775,0.4457926403934825,54474.40315063512,0.0,-0.0691,0.22870475406548849,27946.973203580998,0.0,-0.0137,0.19007689185165713,23226.7747336688,0.0,-0.0484,0.1354257136893719,16548.579442598588,0.0,122196.7305304835,0.005590261501100757
2007-06-01,0.0253,0.4642339899495044,55852.60555034618,0.0,-0.0281,0.22576148745454033,27161.663256560372,0.0,-0.0279,0.18766934932015397,22578.747718599443,0.0,-0.1106,0.12233517327580126,14718.306556247184,0.0,120311.32308175319,-0.015429279003990826
2007-07-01,0.0115,0.47817887709446016,56494.910514175164,0.0,-0.0019,0.22946237217029938,27110.056096372908,0.0,-0.0544,0.18071257628048068,21350.463842707635,0.0,-0.1038,0.11164617445475981,13190.546335708726,0.0,118145.97678896443,-0.017997859530788918
2007-08-01,0.0199,0.4638101556188318,57619.15923340725,0.0,0.0691,0.23330394510996802,28983.360972632276,0.0,0.0674,0.1834458324970176,22789.48510570613,0.0,0.1249,0.11944006677418255,14838.045573038746,0.0,124230.0508847844,0.05149624440185141
2007-09-01,0.1128,0.4926236079968516,64118.60039493559,0.0,0.0297,0.2292929201967518,29844.166793519453,0.0,-0.0354,0.16889350846571544,21982.737332964134,0.0,-0.0422,0.10918996334068098,14211.88004985651,0.0,130157.3845712757,0.04771255943530539
2007-10-01,0.1063,0.5205416459547435,70934.40761691725,0.0,0.0165,0.22262061400806504,30336.595545612523,0.0,-0.0353,0.15562257028831306,21206.7467051105,0.0,-0.0295,0.1012151697488784,13792.629588385744,0.0,136270.379456026,0.04696617794592184
2007-11-01,-0.0343,0.5171957718489908,68501.35743565699,0.0,0.0052,0.23023699566581554,30494.345842449708,0.0,-0.0238,0.15630347756284216,20702.02613352887,0.0,-0.0756,0.09626375492235154,12749.906791503781,0.0,132447.63620313935,-0.02805263526928281
2007-12-01,-0.0059,0.5129324522704026,68097.19942678661,0.0,0.0614,0.24379754621525057,32366.69867717612,0.0,-0.0114,0.15415740253991872,20466.023035606642,0.0,-0.0721,0.0891125989744281,11830.638511836358,0.0,132760.55965140573,0.002362620105853974
2008-01-01,-0.0639,0.3817349518650639,49710.85980541495,-14992.98,0.0961,0.2793636497810941,36379.71100405275,823.44,-0.0728,0.18905282109551316,24619.11920661448,6086.09,-0.0201,0.14984857725832895,19513.805533748447,8083.44,130223.49554983061,-0.01911007386709407
2008-02-01,0.0375,0.40138133358895944,51575.01704811801,0.0,0.0004,0.2832374783226182,36394.26288845437,0.0,-0.083,0.17569509543488196,22575.73231246548,0.0,-0.0802,0.13968609265354037,17948.798329941823,0.0,128493.81057897968,-0.01328243389219308
2008-03-01,-0.0381,0.3861283158311413,49610.00889858471,0.0,-0.0196,0.2777145131473875,35680.93533584066,0.0,0.0368,0.18217936385403055,23406.519261564208,0.0,0.1022,0.15397780716744075,19783.16551926188,0.0,128480.62901525144,-0.00010258520366734913
2008-04-01,0.1463,0.42217170475689647,56867.95320044766,0.0,-0.067,0.24713792672552684,33290.312668339335,0.0,0.0241,0.1779511202691194,23970.616375767906,0.0,0.04,0.15273924824845728,20574.492140032355,0.0,134703.37438458725,0.04843333518080084
2008-05-01,0.055,0.44314118669896646,59995.69062647228,0.0,-0.0262,0.23944716736304084,32418.106476428846,0.0,-0.0296,0.17181142852733475,23261.086131045176,0.0,-0.0419,0.14560021741065796,19712.420919365,0.0,135387.3041533113,0.005077302419844276
