data,sp500_retorno,sp500_peso,sp500_saldo,sp500_mov,ouro_retorno,ouro_peso,ouro_saldo,ouro_mov,tbond_retorno,tbond_peso,tbond_saldo,tbond_mov,bil_retorno,bil_peso,bil_saldo,bil_mov,saldo_total,retorno_total
2006-01-01,-0.0225,0.24929864830400408,24437.5,0.0,0.0527,0.26847742922723794,26317.5,0.0,-0.0595,0.23986228003060445,23512.5,0.0,-0.0497,0.24236164243815353,23757.5,0.0,98025.0,-0.019750000000000045
2006-02-01,-0.0351,0.24956028941243413,23579.74375,0.0,-0.0472,0.26538891538834725,25075.314,0.0,-0.0283,0.24180618809242732,22847.09625,0.0,-0.0326,0.24324460710679116,22983.0055,0.0,94485.15950000001,-0.036111609283346
2006-03-01,0.0345,0.2521618907519142,24393.244909375,0.0,0.0626,0.27543940259274463,26645.028656399998,0.0,-0.027,0.22980195954760485,22230.22465125,0.0,0.0211,0.24259674710773624,23467.946916049998,0.0,96736.445133075,0.023826870219497254
2006-04-01,-0.0254,0.24777223917099292,23773.656488676876,0.0,0.08,0.2999139105675723,28776.630948912,0.0,-0.0672,0.21611706028195743,20736.353554686,0.0,-0.0343,0.23619678997947735,22662.99633682948,0.0,95949.63732910436,-0.008133519925073496
2006-05-01,0.0627,0.24310766552094024,25264.264750516915,0.0,0.0774,0.2983382291476029,31003.942184357787,0.0,0.0902,0.21753570812519396,22606.772645318677,0.0,0.1052,0.24101839720626284,25047.14355146394,0.0,103922.12313165732,0.08309031721722504
2006-06-01,-0.0589,0.24573283970914028,23776.199556711468,0.0,-0.101,0.2880695620229058,27872.54402373765,0.0,-0.0517,0.22156700103992982,21438.0024995557,0.0,-0.055,0.24463059722802422,23669.550656133426,0.0,96756.29673613823,-0.06895381059950845
2006-07-01,0.0055,0.24267713735132185,23906.96865427338,0.0,0.0361,0.29314509713232595,28878.74286299458,0.0,0.018,0.2215319888146579,21823.886544547702,0.0,0.0099,0.24264577670169435,23903.879207629147,0.0,98513.4772694448,0.018160890738703417
2006-08-01,0.0027,0.24603628666569494,23971.51746963992,0.0,-0.0351,0.28599881052112586,27865.09898850347,0.0,0.0079,0.22576321295202936,21996.29524824963,0.0,-0.0128,0.2422016898611499,23597.909553771493,0.0,97430.8212601645,-0.010989927868641947
2006-09-01,0.0444,0.25274658668956446,25035.85284529193,0.0,-0.025,0.27427619434880246,27168.471513790882,0.0,0.0346,0.22974439428806961,22757.367063839065,0.0,0.021,0.2432328246735635,24093.465654400694,0.0,99055.15707732257,0.016671683520153024
2006-10-01,0.0159,0.25711867373216757,25433.922905532072,0.0,-0.002,0.2741044056052324,27114.1345707633,0.0,-0.0105,0.22764498210543901,22518.414709668756,0.0,-0.01,0.24113193855716092,23852.530997856687,0.0,98919.00318382082,-0.0013745260470937604
2006-11-01,0.0294,0.25415466870925424,26181.680238954716,0.0,0.0831,0.28507877272350873,29367.31915359373,0.0,0.0322,0.22563280644695477,23243.507663320088,0.0,0.0155,0.23513375212028206,24222.245228323467,0.0,103014.75228419201,0.04140507858495179
2006-12-01,-0.0032,0.25944297342226175,26097.89886219006,0.0,-0.0336,0.28213540802196213,28380.57723003298,0.0,-0.0489,0.21976787998870612,22106.900138583736,0.0,-0.0089,0.23865373856706987,24006.66724579139,0.0,100592.04347659818,-0.023518076332506133
2007-01-01,0.0112,0.2607518754928358,26390.19532944659,0.0,0.0229,0.2868396864045488,29030.492448600737,0.0,-0.0128,0.2156342945105544,21823.931816809865,0.0,-0.0018,0.23677414359206098,23963.455244748962,0.0,101208.07483960615,0.006124056552756052
2007-02-01,-0.0226,0.2528603534674714,25793.776915001097,0.0,0.0253,0.2917905089825185,29764.963907550336,0.0,0.0289,0.2201263156431846,22454.64344631567,0.0,0.0013,0.2352228219068255,23994.607736567137,0.0,102007.99200543424,0.007903689177921613
2007-03-01,-0.0315,0.2557740489900797,24981.272942178563,0.0,-0.0502,0.28945392276499093,28270.76271939131,0.0,-0.061,0.21588062649684783,21084.910196090415,0.0,-0.0276,0.2388914017480816,23332.356563037883,0.0,97669.30242069816,-0.04253283982401046
2007-04-01,0.041,0.2620308404930663,26005.505132807884,0.0,0.0202,0.2906096026524036,28841.832126323014,0.0,0.0031,0.2131096432080439,21150.273417698296,0.0,-0.0036,0.2342499136464862,23248.360079410948,0.0,99245.97075624015,0.016142926144293357
2007-05-01,-0.0137,0.2690549684180859,25649.229712488417,0.0,-0.0691,0.2816388511865641,26848.861526394092,0.0,-0.0703,0.2062649833793081,19663.409196434106,0.0,-0.0034,0.24304119701604188,23169.315655140952,0.0,95330.81609045756,-0.03944900368195969
2007-06-01,-0.0279,0.26739644072013835,24933.61620350999,0.0,-0.0281,0.27984516579248364,26094.40851750242,0.0,-0.0242,0.20577375497359018,19187.5546938804,0.0,-0.006,0.2469846385137877,23030.299761210106,0.0,93245.87917610293,-0.02187054511708242
2007-07-01,-0.0544,0.2579565121681454,23577.22748203905,0.0,-0.0019,0.28495433953920224,26044.829141319166,0.0,0.0054,0.21106308131282614,19291.167489227355,0.0,-0.0236,0.24602606697982626,22486.78468684555,0.0,91400.00879943112,-0.019795731382249326
2007-08-01,0.0674,0.25857559041750067,25166.33261432848,0.0,0.0691,0.2860931338939998,27844.52683498432,0.0,0.0685,0.2117876497601441,20612.612462239427,0.0,0.0541,0.24354362592835535,23703.319738403894,0.0,97326.79164995613,0.0648444450758292
2007-09-01,-0.0354,0.2578756473441207,24275.44443978125,0.0,0.0297,0.304574609736416,28671.509281983355,0.0,-0.0705,0.20352866017624943,19159.423283651548,0.0,-0.0706,0.2340210827432139,22029.865364872578,0.0,94136.24237028873,-0.03278181912275979
2007-10-01,-0.0353,0.2545964397512842,23418.521251056973,0.0,0.0165,0.3168478728867019,29144.58918513608,0.0,-0.0359,0.2008155657216596,18471.599987768455,0.0,-0.0491,0.22774012164035426,20948.198975457333,0.0,91982.90939941884,-0.022874643353615776
2007-11-01,-0.0238,0.24450432753406556,22861.160445281817,0.0,0.0052,0.31332763197427577,29296.141048898786,0.0,0.0711,0.21160348352206815,19784.930746898794,0.0,0.0291,0.23056455696959044,21557.791565643143,0.0,93500.02380672254,0.016493437935474642
2007-12-01,-0.0114,0.23898719200345858,22600.543216205606,0.0,0.0614,0.32881017625779735,31094.92410930117,0.0,-0.0169,0.20567806567681443,19450.565417276204,0.0,-0.0063,0.22652456606192967,21421.97747877959,0.0,94568.01022156257,0.011422311688900733
2008-01-01,-0.0728,0.21852849578905695,20955.22367006584,0.0,0.0961,0.3554311236905646,34083.14631620501,0.0,0.0083,0.20452093681396105,19612.005110239596,0.0,-0.0084,0.22151944370641735,21242.03286795784,0.0,95892.4079644683,0.014004711950720061
2008-02-01,-0.083,0.2089691133098557,19215.940105450376,0.0,0.0004,0.37079496268997364,34096.779574731496,0.0,-0.0576,0.20099152192383327,18482.353615889795,0.0,-0.0509,0.21924440207633739,20160.813394978788,0.0,91955.88669105046,-0.04105143834615632
2008-03-01,0.0368,0.2119329670241155,19923.08670133095,0.0,-0.0196,0.35559738442570327,33428.482695066756,0.0,0.0614,0.20867876208891384,19617.17012790543,0.0,0.0435,0.2237908864612674,21037.808777660364,0.0,94006.5483019635,0.02230049303752324
2008-04-01,0.0241,0.22485644050299752,20403.233090833026,0.0,-0.067,0.34371987781457564,31188.774354497284,0.0,-0.0506,0.20525414028477468,18624.541319433414,0.0,-0.0245,0.22616954139765208,20522.382462607686,0.0,90738.93122737142,-0.03475946233124094
2008-05-01,-0.0296,0.22703547362205925,19799.297391344367,0.0,-0.0262,0.34826675498894,30371.628466409456,0.0,-0.0691,0.19880740517660514,17337.585514260565,0.0,-0.0401,0.2258903662123955,19699.434925857116,0.0,87207.94629787152,-0.038913671141354356
