data,sp500_retorno,sp500_peso,sp500_saldo,sp500_mov,tbond_20_retorno,tbond_20_peso,tbond_20_saldo,tbond_20_mov,tbond_7_10_retorno,tbond_7_10_peso,tbond_7_10_saldo,tbond_7_10_mov,ouro_retorno,ouro_peso,ouro_saldo,ouro_mov,commodities_retorno,commodities_peso,commodities_saldo,commodities_mov,saldo_total,retorno_total
2006-01-01,-0.0225,0.302528550648386,29325.0,0.0,-0.0595,0.3881031227755254,37620.0,0.0,-0.0535,0.1464671474110984,14197.5,0.0,0.0527,0.08145058958249513,7895.25,0.0,0.0527,0.08145058958249513,7895.25,0.0,96933.0,-0.030669999999999975
2006-02-01,-0.0351,0.3025257618544759,28295.6925,0.0,-0.0283,0.3908346232809132,36555.354,0.0,-0.0396,0.1457827253237692,13635.279,0.0,-0.0472,0.08042844477042084,7522.5942,0.0,-0.0472,0.08042844477042084,7522.5942,0.0,93531.51389999999,-0.03509110519637282
2006-03-01,0.0345,0.3096056852401972,29271.89389125,0.0,-0.027,0.3762027267119132,35568.359442,0.0,0.0061,0.1450986201779422,13718.4542019,0.0,0.0626,0.0845464839349737,7993.508596919999,0.0,0.0626,0.0845464839349737,7993.508596919999,0.0,94545.72472899,0.010843519865126439
2006-04-01,-0.0254,0.3098985169095941,28528.38778641225,0.0,-0.0672,0.3604081806975936,33178.1656874976,0.0,-0.0462,0.1421362209449078,13084.66161777222,0.0,0.08,0.09377854072395235,8632.9892846736,0.0,0.08,0.09377854072395235,8632.9892846736,0.0,92057.19366102928,-0.026320926462766625
2006-05-01,0.0627,0.3050864259963207,30317.1177006203,0.0,0.0902,0.3639934132408925,36170.83623250988,0.0,0.0915,0.1437213246551825,14281.90815579838,0.0,0.0774,0.09359941805380212,9301.182655307337,0.0,0.0774,0.09359941805380212,9301.182655307337,0.0,99372.22739954323,0.07946183722968136
2006-06-01,-0.0589,0.306867282805414,28531.43946805377,0.0,-0.0517,0.368919154362629,34300.80399928912,0.0,-0.0603,0.1443452068939642,13420.70909400373,0.0,-0.101,0.08993417796899643,8361.763207121296,0.0,-0.101,0.08993417796899643,8361.763207121296,0.0,92976.47897558921,-0.06436152827931296
2006-07-01,0.0055,0.3038695900133958,28688.36238512806,0.0,0.018,0.3698567589332114,34918.21847127633,0.0,0.0133,0.1440439383758027,13599.20452495398,0.0,0.0361,0.09176583489927151,8663.622858898374,0.0,0.0214,0.09046387777831863,8540.704939753692,0.0,94410.11318001043,0.015419321318864032
2006-08-01,0.0027,0.3071933532986877,28765.82096356791,0.0,0.0079,0.375841354558424,35194.07239719941,0.0,-0.0048,0.1445303033877535,13533.9283432342,0.0,-0.0351,0.08927233339649349,8359.52969655104,0.0,-0.0882,0.08316265535864137,7787.414764067416,0.0,93640.76616461997,-0.00814898944060749
2006-09-01,0.0444,0.3142844631859872,30043.02341435032,0.0,0.0346,0.3809090339566169,36411.7873021425,0.0,0.0271,0.1454172333506449,13900.69780133585,0.0,-0.025,0.08526400656350386,8150.541454137265,0.0,-0.0901,0.07412526294324707,7085.768693824943,0.0,95591.81866579087,0.02083550339326523
2006-10-01,0.0159,0.3205730685448078,30520.70748663849,0.0,-0.0105,0.3784340742640167,36029.46353547001,0.0,-0.0129,0.1441219705804901,13721.37879969862,0.0,-0.002,0.0854376785737195,8134.240371228991,0.0,-0.0402,0.071433208036966,6800.92079233318,0.0,95206.7109853693,-0.004028667785555884
