data,sp500_retorno,sp500_peso,sp500_saldo,sp500_mov,small_caps_retorno,small_caps_peso,small_caps_saldo,small_caps_mov,emergentes_retorno,emergentes_peso,emergentes_saldo,emergentes_mov,ouro_retorno,ouro_peso,ouro_saldo,ouro_mov,saldo_total,retorno_total
2006-01-01,-0.0225,0.3316594849523293,34212.5,0.0,0.0337,0.20041587700122632,20674.0,0.0,0.0886,0.2638250020599968,27215.0,0.0,0.0527,0.20409963598644765,21054.0,0.0,103155.5,0.031555
2006-02-01,-0.0351,0.33577336825629267,33011.64125,0.0,-0.0324,0.20346958629916298,20004.1624,0.0,-0.0726,0.25671695963113944,25239.191,0.0,-0.0472,0.20404008581340488,20060.2512,0.0,98315.24585,-0.04692192030478248
2006-03-01,0.0345,0.3306723575986256,34150.542873125,0.0,0.071,0.2074484156939454,21424.4579304,0.0,0.0454,0.2554807638348889,26385.0502714,0.0,0.0626,0.2063984628725402,21316.02292512,0.0,103276.07400004499,0.05045838117125534
2006-04-01,-0.0254,0.3198556917678049,33283.11908414763,0.0,-0.0342,0.19885069259201438,20691.74146918032,0.0,0.0256,0.26005547565359516,27060.50755834784,0.0,0.08,0.22123813998658576,23021.304759129598,0.0,104056.67287080537,0.007558370884238386
2006-05-01,0.0627,0.32767463622110876,35369.970650723684,0.0,0.0343,0.19826757496629824,21401.468201573207,0.0,-0.0256,0.24427630378957704,26367.758564854135,0.0,0.0774,0.22978148502301599,24803.153747486227,0.0,107942.35116463725,0.03734194248797729
2006-06-01,-0.0589,0.33105384457457454,33286.67937939606,0.0,-0.0609,0.1998865497420143,20098.1187880974,0.0,-0.057,0.2472937094349799,24864.796326657448,0.0,-0.101,0.22176589624843127,22298.035218990117,0.0,100547.62971314102,-0.06850621069220131
2006-07-01,0.0055,0.32953968180363175,33469.75611598274,0.0,-0.0281,0.1923234146206537,19533.361650151863,0.0,0.0239,0.2506672631999212,25459.06495886456,0.0,0.0361,0.22746964037579345,23102.99429039566,0.0,101565.17701539482,0.01012005260747384
2006-08-01,0.0027,0.33229601431030537,33560.12445749589,0.0,0.0112,0.19557602781930092,19752.135300633563,0.0,-0.0027,0.2514026421709482,25390.325483475626,0.0,-0.0351,0.2207253156994454,22292.079190802775,0.0,100994.66443240787,-0.0056172066032088575
2006-09-01,0.0444,0.3414786936271602,35050.19398340871,0.0,0.0227,0.1968047123881093,20200.508771957946,0.0,0.0105,0.24996417595776985,25656.92390105212,0.0,-0.025,0.2117524180269606,21734.777211032706,0.0,102642.40386745149,0.016315113717184415
2006-10-01,0.0159,0.33777895203710795,35607.49206774491,0.0,0.0428,0.19982716547769008,21065.090547397747,0.0,0.0544,0.25662631102510775,27052.660561269357,0.0,-0.002,0.20576757146009417,21691.30765661064,0.0,105416.55083302266,0.027027299254931636
2006-11-01,0.0294,0.33011457034212555,36654.35233453661,0.0,0.0372,0.1967727619566869,21848.711915760945,0.0,0.0734,0.26152349856769397,29038.325846466527,0.0,0.0831,0.21158916913349363,23493.855322874984,0.0,111035.24541963906,0.05329992816323759
2006-12-01,-0.0032,0.4410708611910607,48887.74931906609,12390.34,-0.0161,0.19394791837951478,21496.947653917196,0.0,0.0236,0.26816998967687716,29723.630336443137,0.0,-0.0336,0.0968112307525474,10730.437208026386,-12390.34,110838.7645174528,-0.001769536343560918
2007-01-01,0.0112,0.450666281827429,50436.06663943963,989.69,0.014,0.20085071411023972,22478.096121072034,670.8,-0.0017,0.2471761706625841,27662.583862871186,-2013.94,0.0229,0.1013068333997472,11337.69799609019,353.44,111914.44461947304,0.00970490880788244
2007-02-01,-0.0226,0.44906902125403203,49296.2115333883,0.0,-0.0073,0.2032717836054469,22314.00601938821,0.0,-0.0406,0.24176420998360837,26539.482958038618,0.0,0.0253,0.10589498515691277,11624.541755391272,0.0,109774.24226620639,-0.019123557826191906
2007-03-01,-0.0315,0.44461658330547277,47743.38087008656,0.0,-0.0328,0.20098623792264844,21582.106621952276,0.0,0.0179,0.25157649339906435,27014.53970298751,0.0,-0.0502,0.10282068537281451,11040.98975927063,0.0,107381.01695429697,-0.021801337567931123
2007-04-01,0.041,0.44859644244323976,49700.85948576011,0.0,0.0132,0.19736990899247348,21866.990429362046,0.0,0.035,0.2523654210199438,27960.048592592073,0.0,0.0202,0.10166822754434304,11264.017752407895,0.0,110791.91626012212,0.03176445336960154
2007-05-01,-0.0137,0.4484330419406659,49019.957710805196,0.0,-0.0038,0.1992783989333179,21783.89586573047,0.0,0.0023,0.25636593975669913,28024.356704355036,0.0,-0.0691,0.09592261936931709,10485.67412571651,0.0,109313.8844066072,-0.01334061097061201
2007-06-01,-0.0279,0.4417050214389141,47652.30089067373,0.0,-0.0249,0.19689431183565345,21241.47685867378,0.0,0.0276,0.26693665186640186,28797.828949395236,0.0,-0.0281,0.09446401485903055,10191.026682783877,0.0,107882.63338152663,-0.013093039670577067
2007-07-01,-0.0544,0.4381432346925583,45060.01572222108,0.0,-0.0922,0.18749930332264222,19283.01269230406,0.0,-0.0163,0.27545279942864265,28328.424337520093,0.0,-0.0019,0.09890466255615682,10171.663732086587,0.0,102843.11648413182,-0.046712957771178676
